# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-206.34388594	0.01511181
-206.31052953	0.01644989
-206.27717312	0.01817278
-206.24381671	0.01980598
-206.21046030	0.02142060
-206.17710389	0.02389248
-206.14374749	0.02633583
-206.11039108	0.02859811
-206.07703467	0.03120671
-206.04367826	0.03420193
-206.01032185	0.03727355
-205.97696544	0.04064896
-205.94360903	0.04431668
-205.91025262	0.04844927
-205.87689621	0.05290608
-205.84353980	0.05745157
-205.81018339	0.06260569
-205.77682698	0.06808595
-205.74347057	0.07422609
-205.71011416	0.08017409
-205.67675775	0.08736705
-205.64340134	0.09433977
-205.61004493	0.10234903
-205.57668852	0.11061957
-205.54333211	0.11988681
-205.50997570	0.12959450
-205.47661930	0.14002919
-205.44326289	0.15099909
-205.40990648	0.16248955
-205.37655007	0.17480851
-205.34319366	0.18820652
-205.30983725	0.20152365
-205.27648084	0.21610622
-205.24312443	0.23053700
-205.20976802	0.24486082
-205.17641161	0.25879562
-205.14305520	0.27221478
-205.10969879	0.28335556
-205.07634238	0.29271441
-205.04298597	0.29854028
-205.00962956	0.29969889
-204.97627315	0.29487134
-204.94291674	0.28258219
-204.90956033	0.26223575
-204.87620392	0.23226522
-204.84284751	0.19146752
-204.80949110	0.13830492
-204.77613470	0.07475888
-204.74277829	-0.00058564
-204.70942188	-0.08609636
-204.67606547	-0.17992159
-204.64270906	-0.27859707
-204.60935265	-0.38167902
-204.57599624	-0.48450223
-204.54263983	-0.58618457
-204.50928342	-0.67989704
-204.47592701	-0.76486435
-204.44257060	-0.83682662
-204.40921419	-0.89439115
-204.37585778	-0.93450360
-204.34250137	-0.95681077
-204.30914496	-0.96065925
-204.27578855	-0.94600402
-204.24243214	-0.91430158
-204.20907573	-0.86578011
-204.17571932	-0.80394706
-204.14236291	-0.73000940
-204.10900650	-0.64702971
-204.07565010	-0.55611592
-204.04229369	-0.46333258
-204.00893728	-0.36811340
-203.97558087	-0.27469514
-203.94222446	-0.18351325
-203.90886805	-0.09770254
-203.87551164	-0.01762882
-203.84215523	0.05516224
-203.80879882	0.12259262
-203.77544241	0.17985718
-203.74208600	0.22991642
-203.70872959	0.27183810
-203.67537318	0.30706832
-203.64201677	0.33508803
-203.60866036	0.35713441
-203.57530395	0.37367452
-203.54194754	0.38519330
-203.50859113	0.39214879
-203.47523472	0.39431483
-203.44187831	0.39362339
-203.40852190	0.38981269
-203.37516550	0.38308210
-203.34180909	0.37387737
-203.30845268	0.36261601
-203.27509627	0.34901238
-203.24173986	0.33433299
-203.20838345	0.31830479
-203.17502704	0.30173380
-203.14167063	0.28425160
-203.10831422	0.26638940
-203.07495781	0.24846329
-203.04160140	0.23017805
-203.00824499	0.21203739
-202.97488858	0.19450679
-202.94153217	0.17791231
-202.90817576	0.16218811
-202.87481935	0.14730436
-202.84146294	0.13332584
-202.80810653	0.11995747
-202.77475012	0.10798177
-202.74139371	0.09636152
-202.70803730	0.08629824
-202.67468090	0.07714474
-202.64132449	0.06871028
-202.60796808	0.06115332
-202.57461167	0.05464500
-202.54125526	0.04906036
-202.50789885	0.04396562
-202.47454244	0.03947384
-202.44118603	0.03563956
-202.40782962	0.03242293
-202.37447321	0.03027992
-202.34111680	0.02825063
-202.30776039	0.02649505
-202.27440398	0.02530410
-202.24104757	0.02483562
-202.20769116	0.02377070
-202.17433475	0.02326305
-202.14097834	0.02322809
-202.10762193	0.02282942
-202.07426552	0.02221946
-202.04090911	0.02213264
-202.00755271	0.02129732
-201.97419630	0.02044995
-201.94083989	0.01918033
-201.90748348	0.01800383
-201.87412707	0.01635912
-201.84077066	0.01457278
-201.80741425	0.01279194
-201.77405784	0.01020545
-201.74070143	0.00784471
-201.70734502	0.00518997
-201.67398861	0.00231328
-201.64063220	-0.00063478
-201.60727579	-0.00369330
-201.57391938	-0.00657195
-201.54056297	-0.00948278
-201.50720656	-0.01249617
-201.47385015	-0.01501312
-201.44049374	-0.01746754
-201.40713733	-0.01979747
-201.37378092	-0.02186794
-201.34042451	-0.02353180
-201.30706811	-0.02496282
-201.27371170	-0.02584828
-201.24035529	-0.02635590
-201.20699888	-0.02690125
-201.17364247	-0.02666319
-201.14028606	-0.02614014
-201.10692965	-0.02549578
-201.07357324	-0.02469642
-201.04021683	-0.02336560
-201.00686042	-0.02229006
-200.97350401	-0.02121993
-200.94014760	-0.01992987
-200.90679119	-0.01861360
-200.87343478	-0.01749293
-200.84007837	-0.01652977
-200.80672196	-0.01615373
-200.77336555	-0.01493898
-200.74000914	-0.01473616
-200.70665273	-0.01500907
-200.67329632	-0.01492172
-200.63993991	-0.01490220
-200.60658351	-0.01532770
-200.57322710	-0.01576327
-200.53987069	-0.01607172
-200.50651428	-0.01654526
-200.47315787	-0.01723183
-200.43980146	-0.01729740
-200.40644505	-0.01796043
-200.37308864	-0.01849100
-200.33973223	-0.01882596
-200.30637582	-0.01916975
