# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-193.76851955	-0.02351785
-193.73516314	-0.02777948
-193.70180673	-0.02967218
-193.66845033	-0.02919234
-193.63509392	-0.02507307
-193.60173751	-0.01634225
-193.56838110	-0.00454551
-193.53502469	0.00805759
-193.50166828	0.02043005
-193.46831187	0.03032020
-193.43495546	0.03675711
-193.40159905	0.03988978
-193.36824264	0.04012383
-193.33488623	0.03685869
-193.30152982	0.03149257
-193.26817341	0.02526474
-193.23481700	0.01745055
-193.20146059	0.00901995
-193.16810418	0.00078543
-193.13474777	-0.00685276
-193.10139136	-0.01401375
-193.06803495	-0.01950793
-193.03467854	-0.02238430
-193.00132213	-0.02364966
-192.96796573	-0.02340440
-192.93460932	-0.02271436
-192.90125291	-0.02107403
-192.86789650	-0.01920826
-192.83454009	-0.01677244
-192.80118368	-0.01320128
-192.76782727	-0.00958007
-192.73447086	-0.00580517
-192.70111445	-0.00317127
-192.66775804	-0.00072802
-192.63440163	0.00132745
-192.60104522	0.00319592
-192.56768881	0.00529064
-192.53433240	0.00764291
-192.50097599	0.01005123
-192.46761958	0.01222370
-192.43426317	0.01327604
-192.40090676	0.01352772
-192.36755035	0.01339103
-192.33419394	0.01276919
-192.30083753	0.01149855
-192.26748113	0.01049446
-192.23412472	0.00831628
-192.20076831	0.00611917
-192.16741190	0.00295071
-192.13405549	-0.00134748
-192.10069908	-0.00606843
-192.06734267	-0.01144210
-192.03398626	-0.01651495
-192.00062985	-0.02138330
-191.96727344	-0.02487999
-191.93391703	-0.02614173
-191.90056062	-0.02518313
-191.86720421	-0.02276554
-191.83384780	-0.01714712
-191.80049139	-0.01099477
-191.76713498	-0.00391744
-191.73377857	0.00399293
-191.70042216	0.01010091
-191.66706575	0.01646894
-191.63370934	0.02177340
-191.60035293	0.02532434
-191.56699653	0.02723062
-191.53364012	0.02682303
-191.50028371	0.02416006
-191.46692730	0.01911861
-191.43357089	0.01259505
-191.40021448	0.00530815
-191.36685807	-0.00127631
-191.33350166	-0.00681405
-191.30014525	-0.01050420
-191.26678884	-0.01327899
-191.23343243	-0.01401973
-191.20007602	-0.01347266
-191.16671961	-0.01171886
-191.13336320	-0.00882918
-191.10000679	-0.00565384
-191.06665038	-0.00267270
-191.03329397	0.00017198
-190.99993756	0.00147153
-190.96658115	0.00234959
-190.93322474	0.00263206
-190.89986833	0.00215195
-190.86651193	0.00198340
-190.83315552	0.00219636
-190.79979911	0.00270301
-190.76644270	0.00380904
-190.73308629	0.00440167
-190.69972988	0.00547122
-190.66637347	0.00596599
-190.63301706	0.00708049
-190.59966065	0.00896923
-190.56630424	0.01144255
-190.53294783	0.01394468
-190.49959142	0.01579610
-190.46623501	0.01647681
-190.43287860	0.01482496
-190.39952219	0.01038465
-190.36616578	0.00453299
-190.33280937	-0.00247691
-190.29945296	-0.00902703
-190.26609655	-0.01398609
-190.23274014	-0.01814197
-190.19938373	-0.02130420
-190.16602733	-0.02381446
-190.13267092	-0.02553812
-190.09931451	-0.02597509
-190.06595810	-0.02392205
-190.03260169	-0.01860404
-189.99924528	-0.01084253
-189.96588887	-0.00071019
-189.93253246	0.01070573
-189.89917605	0.02017478
-189.86581964	0.02693966
-189.83246323	0.03061771
-189.79910682	0.03091209
-189.76575041	0.02854511
-189.73239400	0.02422196
-189.69903759	0.01921952
-189.66568118	0.01281135
-189.63232477	0.00591739
-189.59896836	-0.00124602
-189.56561195	-0.00839784
-189.53225554	-0.01442879
-189.49889914	-0.01924592
-189.46554273	-0.02149120
-189.43218632	-0.02215122
-189.39882991	-0.01985459
-189.36547350	-0.01710959
-189.33211709	-0.01366249
-189.29876068	-0.01096373
-189.26540427	-0.00811961
-189.23204786	-0.00628438
-189.19869145	-0.00508870
-189.16533504	-0.00474240
-189.13197863	-0.00605149
-189.09862222	-0.00815909
-189.06526581	-0.01095384
-189.03190940	-0.01340903
-188.99855299	-0.01499612
-188.96519658	-0.01455590
-188.93184017	-0.01245896
-188.89848376	-0.00938853
-188.86512735	-0.00539424
-188.83177094	-0.00256759
-188.79841454	-0.00115051
-188.76505813	-0.00002400
-188.73170172	-0.00037587
-188.69834531	-0.00080528
-188.66498890	-0.00111047
-188.63163249	-0.00099831
